Name,Region,WorldRank,RegionRank,2014Score,SChangFrom2013,PropertyRights,PChangeFrom2013,FreedomFCorruption,FCChangeFrom2013,FiscalFreedom ,FFChangeFrom2013,GovSpending,GSChangeFrom2013,BusinessFreedom,BFChangeFrom2013,LaborFreedom,LFChangeFrom2013,MonetaryFreedom,MFChangeFrom2013,TradeFreedom,TFChangeFrom2013,InvestmentFreedom ,IFChangeFrom2013,FinancialFreedom,FFChangeFrom2013,GovtExp%ofGDP ,PopinM,GDPinB,GDPGRate%,GDPcapita,Inflation%,FDIInflowM
Guatemala,South and Central America / Caribbean,83,17,61.2,1.2,25,-5,28.7,1.7,79.6,0,93.6,0,58.4,7.6,49.3,0.6,76.7,1.2,85.4,0.2,65,5,50,0,14.6,15.1,78.7,3,5209,3.8,1207
Guinea,Sub-Saharan Africa,133,27,53.5,2.3,20,0,19.2,-1.8,69.3,-0.3,86.2,3.6,51.8,5.7,73.4,9.6,64.1,1.3,61.2,0,50,5,40,0,21.5,10.9,12.2,3.9,1121,15.2,744
GuineaBissau,Sub-Saharan Africa,143,33,51.3,0.2,20,0,20.2,-1.8,89,-0.1,86.6,4.6,40.5,-0.8,61.4,7.4,74.4,1.7,61.4,-3.9,30,-5,30,0,21.2,1.6,1.9,-1.5,1223,2.2,16
Guyana,South and Central America / Caribbean,121,22,55.7,1.9,30,0,24.4,-0.6,68.4,0.5,71.8,10.7,64.3,-2,72.6,-2.8,78.1,2.2,72,0.8,45,10,30,0,30.6,0.8,6.2,3.3,7939,3,231
Haiti,South and Central America / Caribbean,156,24,48.9,0.8,10,0,16.9,-1.1,80.3,-0.4,66.3,0,33.3,-0.1,68.5,4.9,73.6,-0.6,70.4,-4.4,40,10,30,0,33.5,10.4,12.9,2.8,1243,6.8,179
Honduras,South and Central America / Caribbean,112,19,57.1,-1.3,30,0,23.7,-2.3,84.9,-0.4,79.8,0.6,55.4,-5.6,26.5,-0.3,75.1,1.2,75.4,-1.7,60,-5,60,0,25.9,8.2,37.8,3.3,4610,5.2,1059
HongKong,Asia-Pacific,1,1,90.1,0.8,90,0,82.3,-1.7,93,0.1,89.7,0.8,98.9,0,95.5,9.3,82,-0.1,90,0,90,0,90,0,18.5,7.2,369.4,1.4,51494,4.1,74584
Hungary,Europe,51,24,67,-0.3,60,-5,48.6,2.6,81.1,1.4,26.8,-2.9,79.3,0.2,65.7,1.3,75.6,-1.5,87.8,1,75,0,70,0,49.4,10,195.6,-1.7,19638,5.7,13469
Iceland,Europe,23,13,72.4,0.3,90,0,84.2,1.2,72.9,0.2,32.9,-3.3,91.2,-0.3,59.1,0.2,76,0.2,87.9,0.1,70,5,60,0,47.3,0.3,12.8,1.6,39224,5.2,511
India,Asia-Pacific,120,25,55.7,0.5,50,0,31.5,0.5,79.4,1.1,77.8,-0.1,37.7,0.4,74,0.4,65.5,0.2,65.6,2,35,0,40,0,27.2,1223.2,4684.4,4,3830,9.3,25543
Indonesia,Asia-Pacific,100,21,58.5,1.6,30,0,28,-2,83.4,0,89.8,0.6,54.8,4.6,47.8,-3,76.4,0.9,74.8,-0.2,40,5,60,10,18.5,244.5,1216.7,6.2,4977,4.3,19853
Iran,Middle East / North Africa,173,15,40.3,-2.9,10,0,23.4,-3.6,80.6,-0.2,85.9,5.4,62.3,-3,41.7,-13.3,47.3,-10.7,41.4,-4.3,0,0,10,0,21.7,76.1,999.2,-1.9,13127,30.6,4870
Ireland,Europe,9,2,76.2,0.5,90,0,74.8,-0.2,74,0.2,30.6,1.8,83.4,0,79.5,2.9,81.7,-1.1,87.8,1,90,0,70,0,48.1,4.6,192.2,0.9,41921,1.9,29318
Israel,Middle East / North Africa,44,5,68.4,1.5,75,5,59.3,1.3,60.1,-0.1,40.3,1,73.2,7.1,63,-0.7,80.6,2,82.9,-0.1,80,0,70,0,44.6,7.7,248.7,3.1,32312,1.7,10414
Italy,Europe,86,35,60.9,0.3,50,0,38.5,-0.5,55.5,0,25.6,0.3,75.5,-1.4,52.5,0.5,78.9,-1.3,87.8,1,85,5,60,0,49.8,60.8,1832.9,-2.4,30136,3.3,9625
Jamaica,South and Central America / Caribbean,56,10,66.7,-0.1,40,0,33,0,77.2,-0.3,69.4,1.7,84.6,0.3,75.6,6.3,77.3,1.2,75.1,0.1,85,0,50,-10,31.9,2.8,25.2,0.1,9159,7.3,362
Japan,Asia-Pacific,25,6,72.4,0.6,80,0,77.8,-2.2,69.2,0,47.1,2.1,80,-1.3,79.8,-0.5,87.5,-3.1,82.4,0.6,70,10,50,0,42,127.6,4627.9,2,36266,0,1731
Jordan,Middle East / North Africa,39,4,69.2,-1.2,60,0,45.6,0.6,94,0.4,66.9,-1.9,62,-7.2,72.9,-2.6,81.3,-0.7,79.6,0,70,0,60,0,33.2,6.4,38.7,2.8,6042,4.8,1403
Kazakhstan,Asia-Pacific,67,11,63.7,0.7,30,-5,25.7,-1.3,92.9,-0.3,85,0.5,74.4,2.6,86.7,-1.7,74.4,2.2,78.2,0,40,10,50,0,22.3,16.7,231.8,5,13893,5.1,14022
Kenya,Sub-Saharan Africa,111,17,57.1,1.2,30,0,21,-1,78,0.5,74.6,1.1,55.8,-2.2,64,6.9,74.9,1.1,72.8,6.1,50,0,50,0,29.1,42.1,75.9,4.7,1802,9.4,259
Kiribati,Asia-Pacific,164,38,46.3,0.4,30,0,29.2,-1.8,71.4,0.2,0,0,57,-2.2,83.6,5.1,81.3,2.9,55.4,0,25,0,30,0,91.8,0.1,0.6,2.5,5973,2,-2
SouthKorea,Asia-Pacific,31,8,71.2,0.9,70,0,54,0,72.6,-0.4,72.6,-0.2,92.8,-0.8,47.8,-0.9,79.6,1.7,72.6,0,70,0,80,10,30.2,50,1613.9,2,32272,2.2,9904
Kuwait,Middle East / North Africa,76,7,62.3,-0.8,50,0,43.7,-2.3,97.7,-2.2,55.6,-5.9,57.7,0,63.6,0.8,73.2,1.6,76.7,-0.1,55,0,50,0,38.5,3.8,151,5.1,39889,2.9,1851
KyrgyzRepublic,Asia-Pacific,85,15,61.1,1.5,20,0,19.2,-1.8,94.6,-0.2,60.2,3.8,74.2,1,83.8,-4.8,73.7,7,75.2,-0.2,60,10,50,0,36.4,5.6,13.3,-0.9,2376,2.8,372
Laos,Asia-Pacific,144,31,51.2,1.1,15,0,18.6,-3.4,86.6,6.9,86.7,0.9,60.7,-1.4,54.9,0.2,75.5,2.5,58.6,-0.1,35,5,20,0,21,6.4,19.2,8.3,3011,4.3,294
Latvia,Europe,42,19,68.7,2.2,50,0,43.6,1.6,84.6,0.2,54.9,1.3,82.5,6.8,68.5,4.1,79.7,1.4,87.8,1,85,5,50,0,38.8,2,37.3,5.6,18255,2.3,988
Lebanon,Middle East / North Africa,96,9,59.4,-0.1,20,0,24.5,-0.5,90.9,0.1,73.7,-0.9,55.6,5.3,58.7,1.5,74.5,-2,75.8,-4.6,60,0,60,0,29.6,4,63.2,1.5,15757,6.6,3788
Lesotho,Sub-Saharan Africa,154,37,49.5,1.6,40,0,37.1,2.1,67.4,19.2,0,0,54,-9.7,62.4,-0.4,75.5,-0.2,68.6,-0.5,50,5,40,0,63.1,1.9,4.1,4,2138,5.3,172
Liberia,Sub-Saharan Africa,138,30,52.4,3.1,30,0,33.8,1.8,83.6,7,70.5,-7.3,62.3,5.8,47,-0.2,72.9,0.9,64.1,2.7,40,20,20,0,31.4,4,2.7,8.3,673,6.8,1354
Lithuania,Europe,21,11,73,0.9,60,0,49.9,1.9,92.9,0.1,55.9,2.3,85.7,8.1,59,-5.1,78.6,0.3,87.8,1,80,0,80,0,38.3,3,65,3.6,21615,3.2,835
Luxembourg,Europe,16,7,74.2,0,90,0,84.1,-0.9,62.8,-2.2,47.6,0.5,72.6,-2.2,43.1,4.1,78.9,-0.4,87.8,1,95,0,80,0,41.8,0.5,42.2,0.1,79785,2.9,27878
Macau,Asia-Pacific,29,7,71.3,-0.4,60,0,49.7,-1.3,71.4,-2.1,91.7,0.2,60,0,55,0,79.8,-1.5,90,0,85,0,70,0,16.6,0.6,43.6,9.9,78275,6.1,1500
Macedonia,Europe,43,20,68.6,0.4,35,0,39.6,0.6,91.4,0,70.7,1.6,81,0.7,78.8,0.4,83.5,-0.5,85.9,1.3,60,0,60,0,31.3,2.1,21.9,-0.3,10579,3.3,135
Madagascar,Sub-Saharan Africa,79,7,61.7,-0.3,40,0,27.3,-2.7,90.8,0.8,92.3,-2.3,62.8,-0.7,43.9,-3.5,77.6,2.7,77.8,3.2,55,0,50,0,16,22.4,21.4,1.9,955,6.5,895
Malawi,Sub-Saharan Africa,124,22,55.4,0.1,45,5,31.9,1.9,78,-0.4,63,3,38.9,-2.2,60.3,1.5,64.1,-8.4,72.7,0.9,50,0,50,0,35.1,16.6,14.3,1.9,858,21.3,130
Malaysia,Asia-Pacific,37,9,69.6,3.5,55,0,44.3,1.3,84.6,-0.5,75.6,2.1,85.6,5.7,78.5,6.2,81,1.2,76.4,-0.6,55,10,60,10,28.5,29.5,498.5,5.6,16922,1.7,10074
Maldives,Asia-Pacific,145,32,51,2,20,-5,21.9,-3.1,97.4,-1.4,43.8,29.3,87.4,-1.3,71.7,7.7,69.4,-1,43.8,0.1,25,-5,30,0,43.3,0.3,3.1,3.5,9235,10.9,284
Mali,Sub-Saharan Africa,122,21,55.5,-0.9,20,-10,27.7,-0.3,69.8,0.2,81.7,-2.2,48,-2.1,63.2,-1.4,76.7,-3.2,73.2,0,55,10,40,0,24.7,16.3,18,-1.2,1100,5.3,311
Malta,Europe,58,27,66.4,-1.1,75,0,55.8,-0.2,63.7,2.5,47.2,3.1,62.4,1.3,53.2,-12.2,79.1,-1.3,87.8,1,80,-5,60,0,42,0.4,11.3,0.8,27022,3.2,157
Mauritania,Sub-Saharan Africa,134,28,53.2,0.9,25,0,23.9,-0.1,81.7,1.4,75.8,1.1,38,-5.3,53.1,2,75.5,0.4,69,4.2,50,5,40,0,28.4,3.6,7.7,6.4,2122,4.9,1204
Mauritius,Sub-Saharan Africa,8,1,76.5,-0.4,65,-5,53.4,2.4,92.2,0.1,81.8,-0.1,74.4,-3.8,78,5.7,76.7,1.3,88.6,0.7,85,-5,70,0,24.7,1.3,20.2,3.3,15592,3.9,361
Mexico,North America,55,3,66.8,-0.2,50,0,29.7,-0.3,80.9,-0.2,78.9,-0.5,76.8,-4.6,58.3,-1.4,77.4,-0.3,85.6,5,70,0,60,0,26.6,114.9,1758.9,3.9,15312,4.1,12659
Micronesia,Asia-Pacific,153,35,49.8,-0.3,30,0,30,0,97.5,0,0,0,51.7,-2.4,77.9,-4.6,75.2,-0.9,81,0,25,5,30,0,65.3,0.1,0.8,1.4,7346,5.6,1
Moldova,Europe,110,39,57.3,1.8,40,0,29.5,0.5,85.8,-1.4,54.4,4.3,70.1,0.4,37.9,-3,75,1.6,80.1,0.1,50,15,50,0,39,3.6,12.2,-0.8,3415,4.7,159
